Name,Abs_Thickness_nm,Abs_Eg_eV,Abs_Chi_eV,Abs_Eps_r,Abs_mu_n,Abs_mu_p,Abs_log10_NA,Abs_log10_Nt,ETL_Thickness_nm,ETL_Eg_eV,ETL_Chi_eV,ETL_Eps_r,ETL_mu_n,ETL_mu_p,ETL_log10_ND,ETL_log10_Nt,HTL_Thickness_nm,HTL_Eg_eV,HTL_Chi_eV,HTL_Eps_r,HTL_mu_n,HTL_mu_p,HTL_log10_NA,HTL_log10_Nt,Voc,Jsc,FF,PCE
Structure 7,100,2.01,3.78,7.729,100,20,17,17,50,1.8,3.9,13.6,100,100,18,15,200,2.98,2.1,6.5,0.000169,0.000169,18,15,1.2255,7.873717,77.42,7.47
Structure 7,200,2.01,3.78,7.729,100,20,17,17,50,1.8,3.9,13.6,100,100,18,15,200,2.98,2.1,6.5,0.000169,0.000169,18,15,1.2596,8.892123,73.87,8.27
Structure 7,300,2.01,3.78,7.729,100,20,17,17,50,1.8,3.9,13.6,100,100,18,15,200,2.98,2.1,6.5,0.000169,0.000169,18,15,1.2676,9.742926,75.18,9.28
Structure 7,400,2.01,3.78,7.729,100,20,17,17,50,1.8,3.9,13.6,100,100,18,15,200,2.98,2.1,6.5,0.000169,0.000169,18,15,1.2718,10.43321,75.68,10.04
Structure 7,500,2.01,3.78,7.729,100,20,17,17,50,1.8,3.9,13.6,100,100,18,15,200,2.98,2.1,6.5,0.000169,0.000169,18,15,1.2743,10.946376,75.97,10.6
Structure 7,600,2.01,3.78,7.729,100,20,17,17,50,1.8,3.9,13.6,100,100,18,15,200,2.98,2.1,6.5,0.000169,0.000169,18,15,1.2759,11.326107,76.16,11.01
Structure 7,700,2.01,3.78,7.729,100,20,17,17,50,1.8,3.9,13.6,100,100,18,15,200,2.98,2.1,6.5,0.000169,0.000169,18,15,1.2769,11.606915,76.28,11.3
Structure 7,800,2.01,3.78,7.729,100,20,17,17,50,1.8,3.9,13.6,100,100,18,15,200,2.98,2.1,6.5,0.000169,0.000169,18,15,1.2776,11.814641,76.35,11.52
Structure 7,900,2.01,3.78,7.729,100,20,17,17,50,1.8,3.9,13.6,100,100,18,15,200,2.98,2.1,6.5,0.000169,0.000169,18,15,1.278,11.967464,76.4,11.69
Structure 7,1000,2.01,3.78,7.729,100,20,17,17,50,1.8,3.9,13.6,100,100,18,15,200,2.98,2.1,6.5,0.000169,0.000169,18,15,1.2783,12.080513,76.43,11.8
